Sea-Level Rise and Storm Surges: Potential Impact on Cities by 2100,,,,,
"Detailed results from Table 6, CGD Working Paper: ""Climate Change and the Future Impacts of Storm-Surge Disasters in Developing Countries"", by Susmita Dasgupta, Benoit Laplante, Siobhan Murray and David Wheeler",,,,,
Paper available at http://www.cgdev.org/content/publications/detail/1422836/,,,,,
See p. 14 of the paper for detailed discussion of the results below.,,,,,
Basic assumptions: 1 meter sea-level rise; 10% increase in the intensity of a 1-in-100-year storm; UN medium population projections,,,,,
Rank,Country,City,Increase by 2100 in Population Exposed to Storm Surges,Cumulative % of Total Increase in Exposed Population,Global City Population Rank in 2000
Rank,Country,City,Inc_Pop,Inc_Pct,Pop_Rank
204,"Korea, Rep",Changweon,"8,769",98.4,143
205,India,Mangalore,"8,724",98.4,125
206,Philippines,Silay,"8,644",98.5,371
207,Morocco,Nador,"8,623",98.5,364
208,Chile,Vina del Mar (incl. Concon),"8,558",98.5,181
209,Brazil,Araraquara,"8,163",98.5,271
210,Indonesia,Balikpapan,"8,048",98.6,157
211,China,Yuyao,"7,990",98.6,92
212,India,Thiruvananthapuram (Trivandrum),"7,857",98.6,70
213,Philippines,Mandaue,"7,608",98.7,215
214,Brazil,Nossa Senhora do Socorro,"7,504",98.7,327
215,India,Kochi (Cochin),"7,332",98.7,47
216,Thailand,Nonthanburi,"7,294",98.7,196
217,Philippines,Gingoog,"7,290",98.8,383
218,Indonesia,Banda Aceh,"7,272",98.8,219
219,Dominican Rep,San Pedro de Macoris,"7,133",98.8,287
220,Philippines,Dumaguete,"7,048",98.8,384
221,Indonesia,Bengkulu,"6,999",98.9,220
222,Tanzania,Zanzibar,"6,931",98.9,226
223,Tunisia,Ariana,"6,627",98.9,266
224,Philippines,Marikina,"6,585",98.9,166
225,Tunisia,Binzart,"6,553",98.9,368
226,Indonesia,Adiwerna,"6,491",99.0,386
227,Argentina,Mar del Plata,"6,491",99.0,117
228,Brazil,Cabo Frio,"6,457",99.0,375
229,Venezuela,Puerto la Cruz (incl. Pozuelos),"6,425",99.0,245
230,Mexico,Minatitlan,"6,384",99.1,367
231,Tunisia,Gabes,"6,156",99.1,373
232,Mexico,Boca del Rio,"6,126",99.1,341
233,India,Surat,"6,126",99.1,36
234,Brazil,Sao Jose,"6,051",99.1,278
235,Ecuador,Esmeraldas,"6,037",99.2,328
236,"Korea, Rep",Iksan (Iri),"5,981",99.2,222
237,Indonesia,Taman (Jawa Tengah),"5,717",99.2,382
238,Mexico,Villahermosa,"5,446",99.2,182
239,Philippines,General Santos,"5,179",99.2,161
240,Viet Nam,Vung Tau,"5,141",99.3,266
241,China,Qingdao,"5,137",99.3,37
242,Philippines,Batangas,"5,074",99.3,225
243,"Korea, Rep",Ulsan,"4,901",99.3,62
244,Brazil,Macae,"4,843",99.3,339
245,Brazil,Paranagua,"4,735",99.3,343
246,Viet Nam,Qui Nhon,"4,732",99.4,253
247,Mexico,Puerto Vallarta,"4,713",99.4,296
248,India,Kollam (Quilon),"4,704",99.4,170
249,Malaysia,Taiping,"4,667",99.4,259
250,Honduras,La Ceiba,"4,651",99.4,368
251,Venezuela,Coro (Sta. Ana de Coro),"4,640",99.4,288
252,Viet Nam,Phan Thiet,"4,569",99.5,314
253,Uruguay,Montevideo,"4,274",99.5,69
254,India,Bhiwandi,"4,172",99.5,109
255,Dominican Rep,La Romana,"4,171",99.5,261
256,Mozambique,Nacala,"4,127",99.5,268
257,Indonesia,Cilegon - Merak,"4,127",99.5,302
258,Thailand,Surat Thani,"3,997",99.5,361
259,China,Wenzhou,"3,907",99.6,52
260,Madagascar,Toamasina,"3,825",99.6,280
261,Brazil,Ilheus,"3,774",99.6,283
262,India,Vadodara (Baroda),"3,650",99.6,53
263,Philippines,Olongapo,"3,627",99.6,251
264,Indonesia,Kudus,"3,515",99.6,355
265,China,Panjin,"3,497",99.6,124
266,Mexico,Cheturnal,"3,410",99.6,346
267,Mexico,Culiacan,"3,302",99.7,123
268,Philippines,Muntinlupa,"3,289",99.7,171
269,"Korea, Rep",Pusan,"3,254",99.7,19
270,Lebanon,Beirut,"3,243",99.7,41
271,Indonesia,"Tanjungkarang (T.-Telukbetunk, Bandar Lampun","3,238",99.7,98
272,Indonesia,Lhokseumawe,"3,155",99.7,319
273,Chile,La Serena,"3,125",99.7,334
274,Indonesia,Banyuwangi,"3,072",99.7,363
275,India,Thoothukkudi (Tuticorin),"3,069",99.7,228
276,Morocco,El-Jadida,"3,031",99.7,332
277,Venezuela,Punto Fijo,"3,025",99.8,365
278,India,Bhavnagar (Bhaunagar),"2,975",99.8,130
279,China,Taicheng,"2,474",99.8,86
280,China,Jinzhou,"2,458",99.8,94
281,India,Nellore,"2,416",99.8,172
282,Viet Nam,Hong Gai,"2,380",99.8,311
283,Chile,Coquimbo,"2,358",99.8,322
284,Philippines,San Juan,"2,317",99.8,354
285,Myanmar,Dawei,"2,297",99.8,359
286,Peru,Talara,"2,173",99.8,389
287,Indonesia,Probolinggo,"2,154",99.8,289
288,Mexico,Veracruz,"2,129",99.8,162
289,Syrian Arab Rep,Tartus,"2,120",99.9,310
290,"Korea, Rep",Pyongtaek,"2,060",99.9,236
291,Chile,Puerto Montt,"2,057",99.9,320
292,Philippines,Antipolo,"2,048",99.9,145
293,Brazil,Teresopolis,"1,883",99.9,357
294,Brazil,Angra dos Reis,"1,861",99.9,358
295,Indonesia,Ambon,"1,761",99.9,213
296,"Korea, Rep",Cheonan,"1,636",99.9,229
297,Sri Lanka,Kotte,"1,594",99.9,334
298,India,Brahmapur (Berhampur),"1,565",99.9,197
299,China,Taizhou (J+H),"1,516",99.9,57
300,Peru,Chincha Alta,"1,509",99.9,338
301,Chile,Arica,"1,493",99.9,260
302,Lebanon,Tripoli,"1,421",99.9,244
303,Viet Nam,Cam Pha,"1,419",99.9,317
304,Philippines,Mandaluyong,"1,329",99.9,205
305,Brazil,Braganca Paulista,"1,253",99.9,362
306,Viet Nam,Cam Ranh,"1,204",100.0,315
307,Indonesia,Pasuruan,"1,163",100.0,285
308,China,Jiaxing,"1,136",100.0,95
309,Thailand,Hat Yai,"1,130",100.0,258
310,Argentina,Comodoro Rivadavia,"1,022",100.0,304
311,Venezuela,Carupano,989,100.0,345
312,Brazil,Petropolis,976,100.0,209
313,Sri Lanka,Moratuwa,897,100.0,246
314,China,Shaoxing,853,100.0,185
315,China,Nantong,769,100.0,107
316,Venezuela,Petare,764,100.0,129
